#id,title,author,keyword 1,keyword 2,year,venue,,,,,,
a010037,DURAARK D8.4: Dissemination Plan and Publicity Material v2,Lindlar, Michelle,3D,Langzeitarchivierung,2014,,,,,,
a010038,Dynamic Publication Formats and Collaborative Authoring,Heller, Lambert,Kollaboration,Open Science,2014,,,,,,
a010039,Dynamische Publikationsformen: Werkzeuge, Anwendungsbeispiele, Erschlie�ung, Benutzung. Wie machen wir die wissenschaftliche Bibliothek fit f�r Science 2.0?,Heller, Lambert,Open Science,,2012,IFLA 212,,
a01004,A Portal for Scientific Audiovisual Media: Analysing User Needs,Plank, Margret,Nicht-Textuelle Materialen,,2012,,,,,,
a010040,Editorial: Wie gestalten wir die Zukunft mit Open Access und Open Educational Resources?,Heller, Lambert,Open Access,Open Educational Resources,2011,,,,,,
a010041,EIN Portal der TIB (nicht nur) f�r Ingenieure, Naturwissenschaftler, Informatiker, Mathematiker und Architekten,Hohlfeld, Michael,Discovery,,2013,,,
a010041,EIN Portal der TIB (nicht nur) f�r Ingenieure, Naturwissenschaftler, Informatiker, Mathematiker und Architekten,Tobschall, Esther,Discovery,,2013,,,
a010042,E-IRG White Paper 2013,Heller, Lambert,Big Data,,2014,,,,,,
a010043,Englischsprachige Erweiterung des TIB|AV-Portals. Ein GND-DBpedia-Mapping zur Gewinnung eines englischen Begriffssystems,Strobel, Sven,Semantic,,2014,,,,,,
a010044,Entgrenzung und Zusammenarbeit - die Notwendigkeit von Kooperationen im Lernraum,May, Anne,Lernraum,,2013,,,,,,
a010045,Entwicklung eines Verfahrens zur automatischen Sammlung, Erschlie�ung und Bereitstellung multimedialer Open-Access-Objekte mittels der Infrastruktur von Wikimedia Commons und Wikidata,Bl�mel, Ina,Open Access,Nicht-Textuelle Materialen,2014,,,,,
a010045,Entwicklung eines Verfahrens zur automatischen Sammlung, Erschlie�ung und Bereitstellung multimedialer Open-Access-Objekte mittels der Infrastruktur von Wikimedia Commons und Wikidata,Cartellieri, Simone,Open Access,Nicht-Textuelle Materialen,2014,,,,,
a010045,Entwicklung eines Verfahrens zur automatischen Sammlung, Erschlie�ung und Bereitstellung multimedialer Open-Access-Objekte mittels der Infrastruktur von Wikimedia Commons und Wikidata,Heller, Lambert,Open Access,Nicht-Textuelle Materialen,2014,,,,,
a010046,Entwurf - Datenpublikation � Workflows f�r die Archivierung und Publikation wissenschaftlicher Forschungsdaten in RADAR,Kraft, Angelina,Forschungsdaten,,2014,,,,,,
a010046,Entwurf - Datenpublikation � Workflows f�r die Archivierung und Publikation wissenschaftlicher Forschungsdaten in RADAR,Neumann, Janna,Forschungsdaten,,2014,,,,,,
